type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	37.953157064	-80.670042406	753.7			
T	38.007619425	-80.628275615	1098.2			
T	38.055754386	-80.590492481	1036.4			
T	38.319348996	-80.425034065	968.0			
T	38.402310734	-80.382181355	974.5			
T	38.418128621	-80.407787192	789.7			
T	38.373702032	-80.496782335	796.6			
T	38.336202718	-80.538716212	852.2			
T	38.190378051	-80.679788205	808.3			
T	37.980366783	-80.814511608	894.8			
T	37.636010991	-80.972154208	701.0			
T	37.430369654	-81.054268082	738.3			
T	37.256854004	-81.106509682	751.9			
T	37.229055716	-81.105024260	760.1			
T	37.217241968	-81.046464661	737.4			
T	37.448830677	-80.823856450	654.2			
T	37.787389655	-80.610584281	568.5			
T	38.040656304	-80.526044078	1201.7			
T	38.267820140	-80.482560119	993.2			
T	38.335806974	-80.515163813	868.5			
T	38.262428789	-80.598225340	687.9			
T	38.062934823	-80.721803723	1004.7			
T	37.661229891	-80.875405378	677.7			
T	37.255812842	-80.994268065	691.7			
T	36.981779561	-81.041716873	696.8			
T	36.940544298	-81.046628985	648.5			
T	36.864887950	-80.966591905	665.9			
T	37.003611088	-80.768377444	671.5			
T	37.071915490	-80.697678788	626.9			
T	37.352768668	-80.507342894	874.7			
T	37.799024929	-80.328548269	781.9			
T	38.129329957	-80.287434635	797.5			
T	38.178045546	-80.298325820	1118.6			
T	38.179002158	-80.453432029	884.1			
T	37.932841361	-80.594443206	909.8			
T	37.501818172	-80.776178548	621.5			
T	37.108882528	-80.917573642	803.2			
T	36.884885368	-80.985496776	673.8			
T	36.829931840	-80.968236630	655.8			
T	36.890590532	-80.871544625	628.1			
T	37.163546090	-80.639344812	584.6			
T	37.486859947	-80.454007523	775.9			
T	37.978912932	-80.304991450	753.3			
T	38.229524880	-80.304016201	1209.2			
T	38.108026280	-80.449950438	1085.7			
T	37.666794871	-80.640151879	554.5			
T	37.543737754	-80.683592733	509.6			
T	37.195190566	-80.805100442	576.5			
T	36.840107276	-80.932414084	668.1			
T	36.726900054	-80.968291887	711.0			
T	36.707845429	-80.931210803	763.8			
T	36.790465966	-80.836163210	795.9			
T	37.077109562	-80.599981031	565.5			
T	37.517503381	-80.363961022	672.8			
T	37.857839956	-80.258504141	775.5			
T	38.066854350	-80.229926240	607.6			
T	38.073277480	-80.270106781	835.7			
T	37.838971136	-80.426505734	674.5			
T	37.412593729	-80.656161738	918.0			
T	37.087967119	-80.824181968	631.4			
T	36.993117411	-80.873654218	782.6			
T	36.751017428	-80.997375127	830.5			
T	36.608622145	-81.061165242	739.1			
T	36.613207048	-81.043799207	693.5			
T	36.751315788	-80.893898674	702.4			
T	37.103922752	-80.629191163	612.6			
T	37.475210598	-80.442007836	766.2			
T	37.602342360	-80.390458153	711.6			
T	37.945207700	-80.306811568	736.2			
T	38.164191266	-80.296859898	978.8			
T	38.171677508	-80.343548411	1164.1			
T	37.939419598	-80.506395041	672.8			
T	37.489843842	-80.763500229	586.8			
T	37.151356393	-80.971396953	706.7			
T	37.044520462	-81.036702733	935.0			
T	36.795694195	-81.207619278	891.5			
T	36.650124557	-81.322528607	873.5			
T	36.756336117	-81.220792071	1026.6			
T	37.066150406	-80.957865593	755.9			
T	37.424413826	-80.730778292	578.4			
T	37.555776589	-80.664491293	544.9			
T	37.946204829	-80.518483117	747.3			
T	38.215749557	-80.469802207	1015.6			
T	38.179052480	-80.487883787	1004.2			
T	37.912703496	-80.602481702	853.2			
T	37.389082104	-80.812194248	510.2			
T	37.002944552	-80.973354539	737.1			
T	36.889665036	-81.025012885	828.2			
T	36.608964382	-81.158382369	846.4			
T	36.417526007	-81.237955995	908.4			
T	36.382493902	-81.237023421	1006.6			
T	36.432560399	-81.116897726	1116.6			
T	36.599403516	-80.920748638	770.5			
T	36.674509917	-80.844657119	853.6			
T	36.966291210	-80.620275847	910.9			
T	37.434813852	-80.389981607	603.7			
T	37.715253910	-80.302584100	863.8			
T	37.877780740	-80.271657515	712.0			
T	37.845013218	-80.328468003	876.0			
T	37.621538644	-80.435561915	717.8			
T	37.174468991	-80.631200966	568.8			
T	36.849606390	-80.767238122	734.9			
T	36.756065252	-80.805435398	796.5			
T	36.557876904	-80.888533439	810.0			
T	36.464222041	-80.913274661	480.7			
T	36.486650067	-80.846073319	413.5			
T	36.707883128	-80.622952978	806.0			
T	36.794356519	-80.553034729	767.0			
T	37.147071618	-80.342979522	640.5			
T	37.572226149	-80.180748013	1033.5			
T	37.715876703	-80.141143218	851.8			
T	38.080482434	-80.078513023	1018.5			
T	38.337503623	-80.087329123	986.8			
T	38.383022293	-80.155731214	1291.5			
T	38.164414841	-80.354155100	1178.3			
T	37.691876007	-80.622675852	665.4			
T	37.318484646	-80.803530159	637.4			
T	37.200635833	-80.861446943	912.0			
T	36.894941276	-80.992592906	679.7			
T	36.655445259	-81.068088968	689.1			
T	36.617905086	-81.054202830	682.8			
T	36.622499683	-81.036807633	805.2			
T	36.703086799	-80.925477238	745.0			
T	36.997605782	-80.659783476	659.5			
T	37.457916126	-80.413713916	857.7			
T	37.825110980	-80.309720082	700.6			
T	38.094011972	-80.306308915	791.8			
T	38.142747973	-80.368734258	1258.4			
T	37.966556616	-80.538112694	870.0			
T	37.531694730	-80.750022536	576.1			
T	37.076874805	-80.940462093	692.2			
T	36.785040253	-81.033717018	754.0			
T	36.557993115	-81.085370727	919.8			
T	36.485951063	-81.035681953	771.9			
T	36.535274649	-80.915488097	591.5			
T	36.794548859	-80.619231094	756.9			
T	37.136272301	-80.396211618	657.7			
T	37.683928584	-80.202514990	872.0			
T	38.018577887	-80.152133526	967.6			
T	38.094199701	-80.153266050	942.7			
T	38.228563115	-80.182623500	1081.6			
T	38.221646861	-80.285800338	1020.0			
T	37.932459082	-80.472057239	732.7			
T	37.598287085	-80.618423387	860.1			
T	37.162686664	-80.763895271	802.7			
T	36.830080879	-80.830141396	703.1			
T	36.693496684	-80.820685267	776.0			
T	36.656367995	-80.702000971	866.7			
T	36.799846444	-80.454848392	941.8			
T	37.019191241	-80.239062483	780.5			
T	37.388285537	-80.018836417	641.8			
T	37.667222977	-79.928316206	435.9			
T	37.775088963	-79.924190954	468.8			
T	37.749274172	-79.965860255	673.8			
T	37.475109006	-80.124292169	704.1			
T	37.082169420	-80.310103059	762.2			
T	36.790206345	-80.429873059	906.7			
T	36.501710193	-80.519641202	428.6			
T	36.387264479	-80.514344334	308.8			
T	36.391435542	-80.444009645	335.7			
T	36.579230441	-80.212867902	306.1			
T	36.851863184	-79.992339027	316.5			
T	36.973480322	-79.919559851	354.7			
T	37.610030308	-79.675582536	531.8			
T	37.697680868	-79.656518026	866.3			
T	37.892913380	-79.650273927	666.9			
T	37.926509683	-79.656586785	498.0			
T	37.938078899	-79.723355296	432.7			
T	37.667212061	-79.939005206	649.1			
T	37.219380494	-80.186587236	419.6			
T	36.904552902	-80.340962809	686.1			
T	36.601413532	-80.480836782	423.3			
T	36.483853265	-80.507729881	449.0			
T	36.533195807	-80.429522168	386.0			
T	36.709177484	-80.269424469	582.7			
T	36.791588769	-80.208811160	402.4			
T	37.131733382	-80.004212410	562.1			
T	37.705285230	-79.796386577	344.1			
T	38.250225936	-79.745141044	810.9			
T	38.300433990	-79.816671655	1065.6			
