type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.620619639	-79.608213066	1464.8			
T	37.664525169	-79.644843423	1722.8			
T	37.358572176	-79.976671971	1349.0			
T	37.319670429	-80.007266557	1173.4			
T	37.125036263	-80.171831820	2657.7			
T	37.232122582	-79.982823729	1138.8			
T	37.542788324	-79.614775780	885.3			
T	37.562201746	-79.596253728	1430.8			
T	37.640023790	-79.583520836	1302.4			
T	37.494554847	-79.762109239	1033.2			
T	37.465429584	-79.792834589	1101.4			
T	37.266162476	-79.940039847	980.3			
T	37.149444516	-80.013326811	1437.6			
T	37.212651489	-79.927855317	1235.5			
T	37.241821184	-79.903391479	1071.5			
T	37.533089236	-79.627100254	1427.7			
T	37.571948058	-79.602339339	867.3			
T	37.601094792	-79.583747943	1142.9			
T	37.533301833	-79.694536704	1461.3			
T	37.499330488	-79.725320707	928.9			
T	37.465364189	-79.762203641	1127.7			
T	37.129994229	-80.031612123	2046.7			
T	37.207792852	-79.940073830	1618.9			
T	37.523440553	-79.651668709	1723.8			
T	37.533370409	-79.719061695	959.3			
T	37.324509448	-79.909412294	1533.3			
T	37.071593989	-80.153398283	2689.0			
T	37.300189919	-79.903325771	1039.6			
T	37.625485337	-79.608186921	1536.0			
T	37.635217865	-79.608133279	1553.4			
T	37.475134867	-79.780552851	1164.8			
T	37.280754980	-79.940027721	960.5			
T	37.246714638	-79.970602682	1044.0			
T	37.222396538	-79.995037012	1165.9			
T	37.134852032	-80.074293431	1595.1			
T	37.144580154	-80.062110838	1947.1			
T	37.343908743	-79.848216932	1050.3			
T	37.368198642	-79.823690924	1207.2			
T	37.392480815	-79.799148923	1012.5			
T	37.416763773	-79.780719916	2286.4			
T	37.455607350	-79.749983574	1354.0			
T	37.470186721	-79.743808386	1184.5			
T	37.475170482	-79.798936163	1180.7			
T	37.465469994	-79.823474912	1263.2			
T	37.270979018	-80.105068474	1127.1			
T	37.241756158	-80.141667239	1188.6			
T	37.075801144	-80.397326807	2057.4			
T	37.070892568	-80.409496641	1923.3			
T	37.090475549	-80.373010705	2030.6			
T	37.105144534	-80.348686026	1864.8			
T	37.124667122	-80.324380945	1764.5			
T	37.144197978	-80.293976212	1857.0			
T	37.163721908	-80.263553571	1604.1			
T	37.188129257	-80.220911642	1776.4			
T	37.217374602	-80.184364684	1470.3			
T	37.368291691	-80.013379342	1499.2			
T	37.382870450	-80.031736738	2045.2			
T	37.280536784	-80.221202322	1671.6			
T	37.256128785	-80.263903972	1362.2			
T	37.113878725	-80.586711671	1848.4			
T	37.163223932	-80.428346740	2036.6			
T	37.182852251	-80.379605863	1942.3			
T	37.368255713	-79.884888018	1311.8			
T	37.183488787	-80.025544090	1910.8			
T	37.256431708	-79.933932301	1000.7			
T	37.601061708	-79.571460815	755.4			
T	37.460331857	-79.694841202	1444.6			
T	37.168887122	-79.958410276	1219.1			
T	37.261232845	-79.854474985	1166.2			
T	37.494126494	-79.608903347	1419.5			
T	37.363177934	-79.738038304	1532.5			
T	37.081356340	-80.007209612	1343.2			
T	37.256330054	-79.823926931	952.2			
T	37.600992122	-79.546884253	866.0			
T	37.397246810	-79.750168482	1090.7			
T	37.081365749	-80.043769805	1292.6			
T	37.217504725	-79.909526867	1004.4			
T	37.610776955	-79.565257666	1072.2			
T	37.586589084	-79.620682195	1211.5			
T	37.095946793	-80.007211365	1522.3			
T	37.251540076	-79.891158771	999.5			
T	37.533283859	-79.688405666	1093.6			
T	37.377972726	-79.872634765	1431.6			
T	37.227258187	-79.982824106	1156.8			
T	37.202941885	-80.001138917	1126.9			
T	37.149446335	-80.025525392	1791.9			
T	37.372969211	-79.768600357	2436.0			
T	37.586496769	-79.583832904	850.7			
T	37.615643776	-79.565228002	1250.6			
T	37.639925085	-79.546635487	1286.7			
T	37.669056014	-79.521846053	1279.3			
T	37.654490892	-79.534243676	1346.8			
T	37.635058033	-79.546666669	1168.1			
T	37.610776955	-79.565257666	1072.2			
T	37.581631084	-79.583861263	879.0			
T	37.547637792	-79.608611974	1559.5			
T	37.275769309	-79.811663602	1239.5			
T	37.256330054	-79.823926931	952.2			
T	37.198018479	-79.872908114	1234.8			
T	37.377647615	-79.689042582	1171.9			
T	37.630080097	-79.509811404	904.1			
T	37.601010333	-79.553028503	816.5			
T	37.397144879	-79.707327807	995.1			
T	37.241725390	-79.817851861	1072.5			
T	37.261136710	-79.787247746	1035.3			
T	37.280561972	-79.768857800	1053.2			
T	37.299969645	-79.744347593	1133.4			
T	37.542522520	-79.522696310	2105.3			
T	37.595907649	-79.479320066	1753.6			
T	37.372739316	-79.670699824	1350.8			
T	37.173658680	-79.842424461	1000.6			
T	37.154223573	-79.860771552	1092.4			
T	37.236720678	-79.738429363	952.6			
T	37.420892207	-79.517328655	944.6			
T	37.469384813	-79.474061940	1033.4			
T	37.435504856	-79.523371672	1297.7			
T	37.207570916	-79.756849502	947.5			
T	37.081276911	-79.879187931	1145.3			
T	37.115249640	-79.818136015	993.8			
T	37.134679489	-79.799786346	1028.7			
T	37.154083901	-79.769219722	1020.3			
T	37.178358360	-79.744726608	1007.9			
T	37.202627959	-79.720217493	881.2			
T	37.236606949	-79.689544055	1028.6			
T	37.260865714	-79.664997720	1019.6			
T	37.459805284	-79.517085361	1501.0			
T	37.435604211	-79.554034235	1188.7			
T	37.421071130	-79.572508379	1169.8			
T	37.396814864	-79.591021239	953.1			
T	37.377425749	-79.609474229	1191.7			
T	37.353169933	-79.627939124	961.2			
T	37.328910420	-79.646391294	878.4			
T	37.270596082	-79.664960323	942.6			
T	37.299729939	-79.646505645	916.8			
T	37.513296239	-79.510601415	3674.3			
T	37.299829453	-79.683197337	912.5			
T	37.455058687	-79.553922707	1500.7			
